RESDATE,QBFDEP,BIDCITY,BIDSTATE,CLOSCD,BSTATUS,PSTALP,COMMENTS,CITYST,COSTMOSTRECENTASOF,RESTYPE,URL,PTRDATE,COST,QBFASSET,UNINSDEP,ID,TERMI,FAILYR,CHCLASS,FUND,BANKNO,BIDNAME,FIN,FAILDATE,SAVR,RESTYPE1,CHCLASS1,NAME,FSL_PROG,CITY,CERT,BRDATE
10/21/1993,102630.0,ONTARIO,CA,PANNN,I,CA,,"BREA, CA",29FEB2024,FAILURE,na,,14270.0,105734.0,,2758,T,1993,N,1,,CHINO VALLEY BANK,4601,10/21/1993,BIF,PA,N,"MID CITY BANK, N.A.",,BREA,24452.0,
10/15/1993,11481.0,,,POSNA,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,,3323.0,12920.0,133,2756,T,1993,NM,1,,,4600,10/15/1993,BIF,PO,NM,BRENTWOOD THRIFT AND LOAN ASSOCIATION,,LOS ANGELES,26995.0,
10/14/1993,56897.0,NEW BRAUNFELS,TX,PINNA,I,TX,,"NEW BRAUNFELS, TX",29FEB2024,FAILURE,na,,2725.0,54647.0,71,2755,T,1993,N,1,,TEXAS COM BANK-NEW BRAUN,4599,10/14/1993,BIF,PI,N,"PLAZA BANK, N.A. OF NEW BRAUNFELS",,NEW BRAUNFELS,8446.0,
9/24/1993,22602.0,,,PONNA,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,,7232.0,23727.0,150,2753,T,1993,N,1,,,4598,9/24/1993,BIF,PO,N,WESTERN UNITED NATIONAL BANK,,LOS ANGELES,24654.0,
4/15/1994,76949.0,NONE,NA,PONNN,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,93-09-24,21646.0,81689.0,,2754,T,1993,NM,2,8917,PAYOUT,1267,9/24/1993,RTC,PO,NM,"WESTSIDE BANK, FSB",,LOS ANGELES,32229.0,93-09-24
9/17/1993,7228.0,OAKLAND,CA,PISNA,I,CA,,"SAN FRANCISCO, CA",29FEB2024,FAILURE,na,,1450.0,35751.0,127,2752,T,1993,NM,1,,METROPOLITAN BANK,4597,9/17/1993,BIF,PI,NM,REGENT THRIFT AND LOAN ASSOCIATION,,SAN FRANCISCO,27174.0,
9/10/1993,41150.0,PLEASANTON,CA,PANNN,I,CA,,"PLEASANTON, CA",29FEB2024,FAILURE,na,,2775.0,41886.0,,2751,T,1993,SL,2,8910,COMMUNITY FIRST NB,1234,9/10/1993,RTC,PA,SL,AMADOR VALLEY S & L,,PLEASANTON,32136.0,
8/27/1993,30932.0,LOS ANGELES,CA,PISNA,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,,5922.0,31761.0,25,2750,T,1993,NM,1,,WESTERN BANK,4596,8/27/1993,BIF,PI,NM,MARITIME BANK OF CALIFORNIA,,LOS ANGELES,23135.0,
8/25/1993,59718.0,HOUSTON,TX,PISNA,I,TX,,"FORT WORTH, TX",29FEB2024,FAILURE,na,,7328.0,62583.0,146,2749,T,1993,NM,1,,FIRST INTERSTATE BK OF T,4595,8/25/1993,BIF,PI,NM,TARRANT BANK,,FORT WORTH,18220.0,
4/8/1994,46554.0,NONE,NA,PONNN,I,CA,,"IRVINE, CA",29FEB2024,FAILURE,na,93-08-13,4521.0,50629.0,,2748,T,1993,SB,2,7989,PAYOUT,1260,8/13/1993,RTC,PO,SB,GOLDEN STATE FSB,,IRVINE,32228.0,93-08-13
8/12/1993,14364.0,CHESAPEAKE,VA,PANNN,I,VA,,"NORFOLK, VA",29FEB2024,FAILURE,na,,792.0,15083.0,,2747,T,1993,N,1,,BANK OF HAMPTON ROADS,4594,8/12/1993,BIF,PA,N,"NEW ATLANTIC BANK, NA",,NORFOLK,32728.0,
7/29/1993,32231.0,SULPHUR SPRINGS,TX,PINNN,I,TX,,"WOLFE CITY, TX",29FEB2024,FAILURE,na,,4851.0,30421.0,11,2745,T,1993,N,1,,SULPHUR SPRINGS STATE BA,4593,7/29/1993,BIF,PI,N,THE WOLFE CITY NATIONAL BANK,,WOLFE CITY,5592.0,
7/22/1993,50348.0,DALLAS,TX,PINNN,I,TX,,"HOUSTON, TX",29FEB2024,FAILURE,na,,5473.0,52624.0,1071,2744,T,1993,N,1,,COMERICA BANK TEXAS,4592,7/22/1993,BIF,PI,N,FIDELITY NATIONAL BANK,,HOUSTON,24757.0,
7/9/1993,77014.0,SPRING VALLEY,CA,PISNA,I,CA,,"LA MESA, CA",29FEB2024,FAILURE,na,,14330.0,79395.0,1088,2742,T,1993,NM,1,,VALLE DE ORO BANK NA,4591,7/9/1993,BIF,PI,NM,FIRST CALIFORNIA BANK,,LA MESA,26488.0,
7/9/1993,36977.0,,,POSNA,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,,17697.0,39383.0,22,2743,T,1993,NM,1,,,4590,7/9/1993,BIF,PO,NM,CITY THRIFT AND LOAN ASSOCIATION,,LOS ANGELES,26495.0,
7/2/1993,119404.0,LAKEWOOD,CO,PIBNA,I,CO,,"LAKEWOOD, CO",29FEB2024,FAILURE,na,,38567.0,127077.0,559,2740,T,1993,SM,1,,FIRSTBANK OF WESTLAND NA,4588,7/2/1993,BIF,PI,SM,JEFFERSON BANK & TRUST,,LAKEWOOD,16335.0,
7/2/1993,7219.0,TACOMA,WA,PISNA,I,WA,,"SEATTLE, WA",29FEB2024,FAILURE,na,,1053.0,7845.0,5,2741,T,1993,NM,1,,KEY BANK OF WASHINGTON,4587,7/2/1993,BIF,PI,NM,EMERALD CITY BANK,,SEATTLE,27268.0,
7/1/1993,19706.0,URBANA,IL,PINNA,I,IL,,"RANTOUL, IL",29FEB2024,FAILURE,na,,679.0,20188.0,75,2738,T,1993,N,1,,BUSEY BANK,4585,7/1/1993,BIF,PI,N,"EAGLE BANK OF CHAMPAIGN COUNTY, NATIONAL A",,RANTOUL,3733.0,
7/1/1993,28116.0,DALLAS,TX,PANNN,I,TX,,"HOUSTON, TX",29FEB2024,FAILURE,na,,8175.0,27945.0,,2739,T,1993,N,1,,NATIONSBANK OF TEXAS NA,4586,7/1/1993,BIF,PA,N,WESTHEIMER NATIONAL BANK,,HOUSTON,24846.0,
6/25/1993,22716.0,WASHINGTON,DC,PANNN,I,DC,,"WASHINGTON, DC",29FEB2024,FAILURE,na,,1023.0,23984.0,,2737,T,1993,N,1,,CRESTAR BANK NATIONAL AS,4584,6/25/1993,BIF,PA,N,CITY NATIONAL BANK OF WASHINGTON,,WASHINGTON,27307.0,
6/18/1993,34583.0,SANTA CLARA,CA,PASNN,I,CA,,"SAN JOSE, CA",29FEB2024,FAILURE,na,,5528.0,35577.0,,2734,T,1993,NM,1,,BANK OF SANTA CLARA,4582,6/18/1993,BIF,PA,NM,AMERICAN BANK AND TRUST,,SAN JOSE,21560.0,
6/18/1993,224691.0,,,POSNA,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,,64131.0,227732.0,7981,2736,T,1993,NM,1,,,4583,6/18/1993,BIF,PO,NM,CAPITAL BANK OF CALIFORNIA,,LOS ANGELES,23183.0,
6/10/1993,34059.0,AMARILLO,TX,PASNN,I,TX,,"AMARILLO, TX",29FEB2024,FAILURE,na,,2515.0,34745.0,,2733,T,1993,NM,1,,AMARILLO NATIONAL BANK,4581,6/10/1993,BIF,PA,NM,BANKCENTRAL AMARILLO,,AMARILLO,17963.0,
9/9/1994,2704214.0,NONE,NA,PANNN,I,CA,,"MARINA DEL RAY, CA",29FEB2024,FAILURE,na,93-06-04,107864.0,3796241.0,,2732,T,1993,SL,2,7990,BRANCH SALE,1300,6/4/1993,RTC,PA,SL,WESTERN FSB,,MARINA DEL RAY,29671.0,93-06-04
5/21/1993,720512.0,PROVIDENCE,RI,PIMNA,I,CT,,"NEW LONDON, CT",29FEB2024,FAILURE,na,,116968.0,914884.0,2162,2730,T,1993,SI,1,,CITIZENS SAVINGS BANK,4580,5/21/1993,BIF,PI,SI,NEW ENGLAND SAVINGS BANK,,NEW LONDON,18257.0,
5/21/1993,47775.0,ROLLING HILLS ES,CA,PINNA,I,CA,,"ROLLING HILLS EST, CA",29FEB2024,FAILURE,na,,10296.0,45633.0,183,2731,T,1993,N,1,,PENINSULA BANK NATIONAL,4579,5/21/1993,BIF,PI,N,PALOS VERDES NATIONAL BANK,,ROLLING HILLS EST,23796.0,
5/20/1993,24804.0,LINCOLNTON,NC,PINNA,I,NC,,"CHARLOTTE, NC",29FEB2024,FAILURE,na,,1658.0,26341.0,24,2729,T,1993,N,1,,LINCOLN BANK OF NC,4578,5/20/1993,BIF,PI,N,CROWN NATIONAL BANK,,CHARLOTTE,32731.0,
5/6/1993,9391.0,LOS ANGELES,CA,PINNA,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,,5919.0,9677.0,39,2728,T,1993,N,1,,CALIFORNIA CENTER BANK,4577,5/6/1993,BIF,PI,N,"WILSHIRE CENTER BANK,",,LOS ANGELES,24653.0,
4/30/1993,127661.0,DOWNEY,CA,PINNN,I,CA,,"ANAHEIM, CA",29FEB2024,FAILURE,na,,43596.0,139087.0,7326,2727,T,1993,N,1,,SOUTHERN CALIFORNIA BANK,4576,4/30/1993,BIF,PI,N,AMERICAN COMMERCE NATIONAL BANK,,ANAHEIM,25055.0,
4/29/1993,6809.0,LEON,IA,PINNN,I,IA,,"HAMBURG, IA",29FEB2024,FAILURE,na,,165.0,6952.0,,2726,T,1993,N,1,,DECATUR COUNTY STATE BAN,4575,4/29/1993,BIF,PI,N,VALLEY NATIONAL BANK OF FREMONT,,HAMBURG,14787.0,
4/15/1993,15313.0,SAN DIEGO,CA,PINNA,I,CA,,"SAN DIEGO, CA",29FEB2024,FAILURE,na,,3092.0,16235.0,7,2725,T,1993,N,1,,PENINSULA BANK OF SAN DI,4574,4/15/1993,BIF,PI,N,"FIRST WESTERN BANK, N.A.",,SAN DIEGO,24676.0,
4/8/1993,69818.0,SHERMAN OAKS,CA,PISNA,I,CA,,"NORTHRIDGE, CA",29FEB2024,FAILURE,na,,8857.0,73024.0,1108,2723,T,1993,NM,1,,TRANS-WORLD BANK,4573,4/8/1993,BIF,PI,NM,PREMIER BANK,,NORTHRIDGE,23581.0,
4/2/1993,120891.0,WICHITA,KS,PISNN,I,KS,,"MISSION, KS",29FEB2024,FAILURE,na,,12899.0,124262.0,266,2719,T,1993,NM,1,,BANK IV KANSAS NATIONAL,4572,4/2/1993,BIF,PI,NM,MIDLAND BANK OF KANSAS,,MISSION,19444.0,
4/2/1993,190827.0,OVERLAND PARK,KS,PINNN,I,KS,,"OVERLAND PARK, KS",29FEB2024,FAILURE,na,,15438.0,202754.0,457,2720,T,1993,N,1,,FIRST NB OF KANSAS,4571,4/2/1993,BIF,PI,N,COLLEGE BOULEVARD NATIONAL BANK,,OVERLAND PARK,24111.0,
4/2/1993,80484.0,LOS ANGELES,CA,PINNA,I,CA,,"LOS ANGELES, CA",29FEB2024,FAILURE,na,,25230.0,82446.0,850,2721,T,1993,N,1,,WESTERN BANK,4570,4/2/1993,BIF,PI,N,OLYMPIC NATIONAL BANK,,LOS ANGELES,24564.0,
3/11/1994,128001.0,NONE,NA,PANNN,I,KS,,"PRAIRIE VILLAGE, KS",29FEB2024,FAILURE,na,93-04-02,36310.0,132850.0,,2722,T,1993,SL,2,7996,BRANCH SALE,1251,4/2/1993,RTC,PA,SL,PIONEER FS & LA,,PRAIRIE VILLAGE,27773.0,93-04-02
4/1/1993,20743.0,DALHART,TX,PISNN,I,TX,,"VEGA, TX",29FEB2024,FAILURE,na,,2828.0,21444.0,119,2718,T,1993,NM,1,,CITIZENS STB OF DALHART,4569,4/1/1993,BIF,PI,NM,FIRST STATE BANK,,VEGA,11890.0,
3/18/1993,49016.0,KILGORE,TX,PINNN,I,TX,,"LANCASTER, TX",29FEB2024,FAILURE,na,,161.0,49805.0,951,2717,T,1993,N,1,,KILGORE FIRST NATIONAL BANK,4567,3/18/1993,BIF,PI,N,"UNITED BANK, N.A.",,LANCASTER,3295.0,
7/15/1994,69245.0,BOCA RATON,FL,PANNN,I,FL,,"BOCA RATON, FL",29FEB2024,FAILURE,na,93-03-16,3589.0,75564.0,,2716,T,1993,NM,2,8901,"SHAWMUT BANK, FSB",1293,3/16/1993,RTC,PA,NM,"THE GUARDIAN BANK, FSB",,BOCA RATON,32238.0,93-03-16
3/4/1993,26276.0,ORANGE,CA,PINNA,I,CA,,"LAGUNA BEACH, CA",29FEB2024,FAILURE,na,,7393.0,28451.0,351,2715,T,1993,N,1,,ORANGE NATIONAL BANK,4566,3/4/1993,BIF,PI,N,"FIRST AMERICAN CAPITAL BANK, N.A",,LAGUNA BEACH,23631.0,
2/26/1993,248652.0,ALBANY,NY,PINNN,I,NY,,"WATERTOWN, NY",29FEB2024,FAILURE,na,,43540.0,256014.0,3470,2714,T,1993,N,1,,FLEET BANK OF NEW YORK,4565,2/26/1993,BIF,PI,N,JEFFERSON NATIONAL BANK,,WATERTOWN,7135.0,
2/25/1993,13636.0,CAMERON,TX,PINNA,I,TX,,"ROSEBUD, TX",29FEB2024,FAILURE,na,,1499.0,13728.0,,2712,T,1993,N,1,,FIRST NB IN CAMERON,4564,2/25/1993,BIF,PI,N,THE PLANTERS NB OF ROSEBUD,,ROSEBUD,5499.0,
2/5/1993,100195.0,FORT WORTH,TX,PISNA,I,TX,,"HALTOM CITY, TX",29FEB2024,FAILURE,na,,14480.0,99525.0,176,2711,T,1993,NM,1,,CENTRAL BANK&TRUST,4563,2/5/1993,BIF,PI,NM,AMERICAN BANK OF HALTOM CITY,,HALTOM CITY,17118.0,
6/4/1993,282378.0,BRADFORD,VT,PINNA,I,VT,,"BRADFORD, VT",29FEB2024,FAILURE,na,,25528.0,295784.0,6024,2707,T,1993,N,1,,NEW FIRST NB OF VERMONT,4562,1/29/1993,BIF,PI,N,FIRST NATIONAL BANK OF VERMONT,,BRADFORD,6290.0,93-01-29
7/8/1994,1704347.0,PROVIDENCE,RI,PANNN,I,RI,,"PROVIDENCE, RI",29FEB2024,FAILURE,na,93-01-29,73560.0,1847236.0,,2708,T,1993,SB,2,7941,CITIZENS SB,1290,1/29/1993,RTC,PA,SB,OLD STONE SB,,PROVIDENCE,29892.0,93-01-29
6/4/1993,94489.0,NONE,NA,PONNN,I,CA,,"CANOGA PARK, CA",29FEB2024,FAILURE,na,93-01-29,15123.0,105114.0,,2709,T,1993,SB,2,7986,PAYOUT,1220,1/29/1993,RTC,PO,SB,VISTA FSA,,CANOGA PARK,32484.0,93-01-29
3/25/1994,16512.0,NEW ORLEANS,LA,PANNN,I,LA,,"BATON ROUGE, LA",29FEB2024,FAILURE,na,93-01-29,2207.0,16753.0,,2710,T,1993,SB,2,7977,LIBERTY B&T CO,1258,1/29/1993,RTC,PA,SB,LIFE FSB,,BATON ROUGE,33186.0,93-01-29
1/22/1993,47627.0,LOS ANGELES,CA,PINNA,I,CA,,"SANTA MONICA, CA",29FEB2024,FAILURE,na,,17631.0,47618.0,108,2706,T,1993,N,1,,WESTERN BANK,4561,1/22/1993,BIF,PI,N,COLUMBIA NATIONAL BANK,,SANTA MONICA,24320.0,
12/18/1992,39677.0,BROOKVILLE,IN,PINNA,I,IN,,"RUSHVILLE, IN",29FEB2024,FAILURE,na,,6046.0,41631.0,359,2704,T,1992,N,1,,PEOPLES TRUST CO,4560,12/18/1992,BIF,PI,N,THE RUSHVILLE NATIONAL BANK,,RUSHVILLE,4378.0,
12/18/1992,2623.0,,,POSNN,I,KS,,"BREMEN, KS",29FEB2024,FAILURE,na,,722.0,2679.0,,2705,T,1992,NM,1,,,4559,12/18/1992,BIF,PO,NM,THE BREMEN STATE BANK,,BREMEN,17428.0,
12/11/1992,2909344.0,GREENSBURG,PA,TAMNN,I,PA,,"PHILADELPHIA, PA",29FEB2024,FAILURE,na,,0.0,4126701.0,,2699,T,1992,SI,1,,MELLON BANK NATIONAL ASS,4556,12/11/1992,BIF,PA,SI,MERITOR SAVINGS BANK,,PHILADELPHIA,15750.0,
12/11/1992,499012.0,PROVIDENCE,RI,PIMNA,I,RI,,"WOONSOCKET, RI",29FEB2024,FAILURE,na,,10303.0,515301.0,2645,2700,T,1992,SI,1,,FLEET NATIONAL BANK,4558,12/11/1992,BIF,PI,SI,EASTLAND SAVINGS BANK,,WOONSOCKET,16977.0,
12/11/1992,76172.0,PROVIDENCE,RI,PISNA,I,RI,,"WOONSOCKET, RI",29FEB2024,FAILURE,na,,0.0,85405.0,11153,2701,T,1992,NM,1,,FLEET NATIONAL BANK,4557,12/11/1992,BIF,PI,NM,EASTLAND BANK,,WOONSOCKET,19725.0,
12/11/1992,34481.0,VIENNA,VA,PABNN,I,VA,,"VIENNA, VA",29FEB2024,FAILURE,na,,4958.0,34775.0,,2703,T,1992,SM,1,,FIRST UNION BANK OF VIRG,4554,12/11/1992,BIF,PA,SM,SAILORS & MERCHANTS B&T CO.,,VIENNA,25306.0,
12/10/1992,12779.0,PRINCETON,TX,,,TX,,"PRINCETON, TX",29FEB2024,ASSISTANCE,na,,247.0,12943.0,,2698,,1992,NM,1,,CITIZENS STATE BANK,2020,12/10/1992,BIF,A/A,NM,CITIZENS STATE BANK,,PRINCETON,9015.0,
10/8/1993,54369.0,PALM BEACH GARDE,FL,PANNN,I,FL,,"PALM BEACH GARDEN, FL",29FEB2024,FAILURE,na,92-12-08,20897.0,59403.0,,2697,T,1992,SB,2,7983,"SOUTHBANK, A FSB",1240,12/8/1992,RTC,PA,SB,PALM BEACH FSA,,PALM BEACH GARDEN,32244.0,92-12-08
12/4/1992,506022.0,DERBY,CT,PIMNA,I,CT,,"NEW BRITAIN, CT",29FEB2024,FAILURE,na,,78973.0,523850.0,3228,2690,T,1992,SI,1,,DERBY SAVINGS BANK,4551,12/4/1992,BIF,PI,SI,BURRITT INTERFINANCIAL BANCORPORATION,,NEW BRITAIN,18245.0,
12/4/1992,1000727.0,BOSTON,MA,PIMNN,I,MA,,"HOLYOKE, MA",29FEB2024,FAILURE,na,,24010.0,1288435.0,29230,2692,T,1992,SI,1,,FLEET BANK OF MA NA,4553,12/4/1992,BIF,PI,SI,HERITAGE BANK FOR SAVINGS,,HOLYOKE,21996.0,
12/4/1992,38255.0,,,POSNA,I,CA,,"HUNTINGTON, CA",29FEB2024,FAILURE,na,,17368.0,40476.0,73,2693,T,1992,NM,1,,,4552,12/4/1992,BIF,PO,NM,HUNTINGTON PACIFIC THRIFT & LOAN,,HUNTINGTON,26440.0,
3/10/1995,2716356.0,NONE,NA,PANNN,I,NJ,,"MADISON, NJ",29FEB2024,FAILURE,na,92-12-04,23977.0,4827462.0,,2694,T,1992,SL,2,8602,BRANCH SALE,1309,12/4/1992,RTC,PA,SL,CARTERET FSB,,MADISON,30080.0,92-12-04
6/17/1994,857581.0,MEDFORD,NJ,PANNN,I,NJ,,"VINELAND, NJ",29FEB2024,FAILURE,na,92-12-04,41434.0,1185897.0,,2695,T,1992,SL,2,7984,"MERIDIAN BANK, NJ",1287,12/4/1992,RTC,PA,SL,SECURITY FEDERAL,,VINELAND,30217.0,92-12-04
9/16/1994,1159197.0,NONE,NA,PANNN,I,MD,,"SALISBURY, MD",29FEB2024,FAILURE,na,92-12-04,78024.0,1572770.0,,2696,T,1992,SB,2,7980,BRANCH SALE,1302,12/4/1992,RTC,PA,SB,"SECOND NATIONAL, FSB",,SALISBURY,32339.0,92-12-04
4/23/1993,1395338.0,KANSAS CITY,MO,PIBNA,I,MO,,"KANSAS CITY, MO",29FEB2024,FAILURE,na,,123159.0,1451535.0,15672,2686,T,1992,SM,1,,BOATMEN'S FIRST NB OF KC,4550,11/20/1992,BIF,PI,SM,THE MERCHANTS BANK,,KANSAS CITY,15886.0,92-11-20
3/18/1994,246268.0,NONE,NA,PANNN,I,IL,,"CHICAGO, IL",29FEB2024,FAILURE,na,92-11-20,4589.0,246965.0,,2687,T,1992,SB,2,7954,BRANCH SALE,1254,11/20/1992,RTC,PA,SB,IRVING FB FOR SAVINGS,,CHICAGO,27660.0,92-11-20
5/6/1994,374000.0,NONE,NA,PANNN,I,NJ,,"NEW MILFORD, NJ",29FEB2024,FAILURE,na,92-11-20,35138.0,457974.0,,2688,T,1992,SL,2,7982,BRANCH SALE,1275,11/20/1992,RTC,PA,SL,POLIFLY FS & LA,,NEW MILFORD,28394.0,92-11-20
7/30/1993,26775.0,ELYRIA,OH,PANNN,I,OH,,"CRESTLINE, OH",29FEB2024,FAILURE,na,92-11-20,6949.0,27455.0,,2689,T,1992,SL,2,7974,PREMIER B&T,1225,11/20/1992,RTC,PA,SL,CRESTLINE FS & LA,,CRESTLINE,29768.0,92-11-20
11/13/1992,348942.0,BOSTON,MA,PISNA,I,MA,,"WALTHAM, MA",29FEB2024,FAILURE,na,,60206.0,353230.0,2120,2679,T,1992,NM,1,,FLEET BANK OF MA NA,4545,11/13/1992,BIF,PI,NM,GUARANTY-FIRST TRUST COMPANY,,WALTHAM,17085.0,
4/23/1993,493828.0,KANSAS CITY,MO,PISNA,I,MO,,"KANSAS CITY, MO",29FEB2024,FAILURE,na,,159537.0,472467.0,1272,2681,T,1992,NM,1,,BOATMEN'S FIRST NB OF KC,4546,11/13/1992,BIF,PI,NM,METRO NORTH STATE BANK,,KANSAS CITY,21199.0,92-11-13
11/13/1992,498907.0,NEW YORK CITY,NY,PISNA,I,NY,,"NEW YORK, NY",29FEB2024,FAILURE,na,,164561.0,530651.0,4046,2682,T,1992,NM,1,,MERCHANTS BANK OF NEW YO,4549,11/13/1992,BIF,PI,NM,FIRST NEW YORK BANK FOR BUSINESS,,NEW YORK,22073.0,
11/13/1992,50767.0,BELLE CHASSE,LA,TASNN,I,LA,,"GRETNA, LA",29FEB2024,FAILURE,na,,4787.0,51586.0,,2683,T,1992,NM,1,,DELTA BANK&TRUST CO,4547,11/13/1992,BIF,PA,NM,INVESTORS BANK AND TRUST COMPANY,,GRETNA,25721.0,
11/13/1992,9455.0,NEWARK,CA,PASNN,I,CA,,"REDWOOD CITY, CA",29FEB2024,FAILURE,na,,2341.0,9636.0,,2684,T,1992,NM,1,,FIRESIDE THRIFT CO,4548,11/13/1992,BIF,PA,NM,STATEWIDE THRIFT AND LOAN CO.,,REDWOOD CITY,26656.0,
8/13/1993,95324.0,OMAHA,NE,PANNN,I,KS,,"OVERLAND PARK, KS",29FEB2024,FAILURE,na,92-11-13,6406.0,213413.0,,2685,T,1992,SL,2,7780,"CONSERVATIVE SB, FSB",1229,11/13/1992,RTC,PA,SL,THE OVERLAND PARK FS & LA,,OVERLAND PARK,30655.0,92-11-13
11/6/1992,33160.0,DANBURY,CT,PASNA,I,CT,,"BETHEL, CT",29FEB2024,FAILURE,na,,9775.0,33255.0,,2677,T,1992,NM,1,,UNION SB OF DANBURY,4544,11/6/1992,BIF,PA,NM,"GREENWOOD BANK OF BETHEL, INC.",,BETHEL,27456.0,
11/5/1993,97532.0,NONE,NA,PANNN,I,GA,,"WINDER, GA",29FEB2024,FAILURE,na,92-11-06,4423.0,108173.0,,2678,T,1992,SB,2,7934,BRANCH SALE,1242,11/6/1992,RTC,PA,SB,"FIRST FSB OF GEORGIA, FA",,WINDER,30159.0,92-11-06
2/13/1993,1307005.0,HOUSTON,TX,PIBNA,I,TX,,"DALLAS, TX",29FEB2024,FAILURE,na,,0.0,1359158.0,,2653,T,1992,SM,1,,"TEXAS COMMERCE BANCSHARES,",4529,10/30/1992,BIF,PI,SM,"FIRST CITY, TEXAS - DALLAS, NA",,DALLAS,1722.0,92-10-30
2/13/1993,488695.0,HOUSTON,TX,PANNN,I,TX,,"BEAUMONT, TX",29FEB2024,FAILURE,na,,0.0,532248.0,,2654,T,1992,N,1,,"TEXAS COMMERCE BANCSHARES,",4526,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - BEAUMONT, NA",,BEAUMONT,3093.0,92-10-30
2/13/1993,318838.0,VICTORIA,TX,PANNN,I,TX,,"BRYAN, TX",29FEB2024,FAILURE,na,,0.0,340189.0,,2655,T,1992,N,1,,VICTORIA BANK AND TRUST,4527,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - BRYAN, NA",,BRYAN,3120.0,92-10-30
2/13/1993,86486.0,OLNEY,TX,PANNN,I,TX,,"GRAHAM, TX",29FEB2024,FAILURE,na,,0.0,95398.0,,2656,T,1992,N,1,,FIRST NATIONAL BANK OF OLNE,4531,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - GRAHAM, NA",,GRAHAM,3227.0,92-10-30
2/13/1993,145727.0,LITTLE ROCK,AR,PANNN,I,TX,,"LUFKIN, TX",29FEB2024,FAILURE,na,,0.0,156640.0,,2658,T,1992,N,1,,FIRST COMMERCIAL CORPORATIO,4535,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - LUFKIN, NA",,LUFKIN,3316.0,92-10-30
2/13/1993,114740.0,MADISONVILLE,TX,PANNN,I,TX,,"MADISONVILLE, TX",29FEB2024,FAILURE,na,,0.0,123394.0,,2659,T,1992,N,1,,MADISONVILLE STATE BANK,4536,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - MADISONVILLE",,MADISONVILLE,3318.0,92-10-30
2/13/1993,289991.0,HOUSTON,TX,PANNN,I,TX,,"MIDLAND, TX",29FEB2024,FAILURE,na,,0.0,313055.0,,2660,T,1992,N,1,,TEXAS COMMERCE BANCSHARES,4537,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - MIDLAND, NA",,MIDLAND,3344.0,92-10-30
2/13/1993,122457.0,HOUSTON,TX,PANNN,I,TX,,"ORANGE, TX",29FEB2024,FAILURE,na,,0.0,131984.0,,2661,T,1992,N,1,,"FIRST HEIGHTS BANK, FSB",4538,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - ORANGE, NA",,ORANGE,3374.0,92-10-30
2/13/1993,131932.0,LUBBOCK,TX,PANNN,I,TX,,"SAN ANGELO, TX",29FEB2024,FAILURE,na,,0.0,142819.0,,2662,T,1992,N,1,,FIRST NATIONAL BANK OF WEST,4539,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - SAN ANGELO,",,SAN ANGELO,5506.0,92-10-30
2/13/1993,231534.0,LITTLE ROCK,AR,PANNN,I,TX,,"TYLER, TX",29FEB2024,FAILURE,na,,0.0,259208.0,,2663,T,1992,N,1,,FIRST COMMERCIAL CORPORATIO,4542,10/30/1992,BIF,PA,N,"FIRST CITY, TEXAS - TYLER, NA",,TYLER,5562.0,92-10-30
2/13/1993,48823.0,KILGORE,TX,PASNN,I,TX,,"SOUR LAKE, TX",29FEB2024,FAILURE,na,,0.0,53521.0,,2664,T,1992,NM,1,,CITIZENS BANK,4541,10/30/1992,BIF,PA,NM,"FIRST CITY, TEXAS - SOUR LAKE",,SOUR LAKE,11914.0,92-10-30
2/13/1993,2519978.0,HOUSTON,TX,PINNA,I,TX,,"HOUSTON, TX",29FEB2024,FAILURE,na,,0.0,2802064.0,,2665,T,1992,N,1,,"TEXAS COMMERCE BANCSHARES,",4532,10/30/1992,BIF,PI,N,"FIRST CITY, TEXAS - HOUSTON, NA",,HOUSTON,13702.0,92-10-30
2/13/1993,331568.0,SAN ANTONIO,TX,PINNA,I,TX,,"AUSTIN, TX",29FEB2024,FAILURE,na,,0.0,345518.0,,2666,T,1992,N,1,,THE FROST NATIONAL BANK,4525,10/30/1992,BIF,PI,N,"FIRST CITY, TEXAS - AUSTIN, NA",,AUSTIN,15721.0,92-10-30
2/13/1993,96353.0,HOUSTON,TX,PASNN,I,TX,,"LAKE JACKSON, TX",29FEB2024,FAILURE,na,,0.0,104302.0,,2667,T,1992,NM,1,,"FIRST HEIGHTS BANK, FSB",4534,10/30/1992,BIF,PA,NM,"FIRST CITY, TEXAS - LAKE JACKSON",,LAKE JACKSON,16524.0,92-10-30
